,acc.date,type,reg,operator,fat,location,dmg
970,2018-01-06,Boeing 777-369ER,9K-AOC,Kuwait Airways,0.0,"New York-John F. Kennedy International Airport, NY (JFK/KJFK)",sub
971,2018-01-06,Antonov An-2TP,YV1944,Unknown,0.0,La Paragua Airport,w/o
972,2018-01-07,Cessna 208B Grand Caravan,5Y-FDC,Unknown,1.0,Akobo Airport (HSAK),w/o
973,2018-01-09,Embraer EMB-110P1 Bandeirante,C6-MIC,Pineapple Air,0.0,Governor's Harbour Airport (GHB),sub
974,2018-01-10,de Havilland Canada DHC-8-402Q Dash 8,SP-EQG,LOT Polskie Linie Lotnicze,0.0,Warszawa-Frédéric Chopin Airport (WAW/EPWA),sub
975,2018-01-10,Gulfstream G200,RP-C280,Air Taxi PH,0.0,Legazpi-Bicol International Airport (LGP),sub
976,2018-01-10,Fairchild SA227-AT Merlin IVC,N561UP,Ameriflight,0.0,"Rock Springs-Sweetwater County Airport, WY (RKS)",sub
977,2018-01-13,Boeing 737-82R (WL),TC-CPF,Pegasus Airlines,0.0,Trabzon Airport (TZX),sub
978,2018-01-15,Airbus A319-111,5A-ONC,Afriqiyah Airways,0.0,Tripoli-Mitiga International Airport (MJI),sub
979,2018-01-16,Antonov An-2,,Kazakhstan Air Defence Force,0.0,near Zhetygen Air Base,w/o
980,2018-01-16,British Aerospace BAe-748-347 Srs. 2A,S2-AAX,Bismillah Airlines,0.0,Jessore Airport (JSR),sub
981,2018-01-17,Embraer ERJ-190AR,5H-FJI,Fastjet,1.0,"Mwanza International Airport (HTMW), Mwanza",non
982,2018-01-17,IPTN/CASA CN-235M-100,98-148,Türk Hava Kuvvetleri (Turkish Air Force),3.0,"Hodulluca Mevkii, Yalvaç district",w/o
983,2018-01-18,Convair CV-580F,XA-TRB,Air Tribe,0.0,"Brownsville-South Padre Island International Airport, TX (BRO)",sub
984,2018-01-20,Let L-410UVP,UR-VTV,Galeyr Airline,0.0,Mogadishu Aden Adde International Airport (MGQ),sub
985,2018-01-20,Embraer EMB-120ER Brasilia,5Y-CEI,"Delegation of the EU to Somalia, lsf AirTraffic Africa",0.0,Mogadishu Aden Adde International Airport (MGQ),unk
986,2018-01-25,Airbus A320,,Unknown,0.0,Berlin-Schönefeld Airport (SXF/EDDB),sub
987,2018-01-25,Gulfstream G200,5N-BTF,Nestoil,0.0,Abuja-Nnamdi Azikiwe International Airport (ABV/DNAA),sub
988,2018-01-29,Shaanxi Y-8GX-3,30513,People's Liberation Army - Air Force - PLAAF,12.0,"Zhengchang, Suiyang County, Guizhou Province",w/o
989,2018-02-01,Airbus A330-202,VH-...,Qantas,0.0,"Sydney-Kingsford Smith International Airport, NSW (SYD/YSSY)",non
990,2018-02-04,Raytheon Beechjet 400A,N570TM,"Travel Management, Inc",0.0,"Cleveland-Burke Lakefront Airport, OH (BKL)",sub
991,2018-02-10,Boeing 737-8AS (WL),EI-EKI,Ryanair,0.0,Canaries airspace,non
992,2018-02-11,Antonov An-148-100B,RA-61704,Saratov Airlines,71.0,"near Stepanovskoye, Ramenskoye district",w/o
993,2018-02-13,Airbus A330-223,N858NW,Delta Air Lines,0.0,Lagos-Murtala Muhammed International Airport (LOS/DNMM),non
994,2018-02-16,Fokker 100,EP-FQF,Qeshm Air,0.0,Mashhad Airport (MHD),sub
995,2018-02-18,ATR 72-212,EP-ATS,Iran Aseman Airlines,66.0,15 km NE of Yasuj Airport (YES),w/o
996,2018-02-20,McDonnell Douglas MD-83,5N-SRI,Dana Air,0.0,Port Harcourt Airport (PHC),sub
997,2018-02-21,Cessna 208B Grand Caravan,G-BZAH,Army Parachute Association,0.0,Netheravon Airport (EGDN),min
998,2018-02-23,Beechcraft B100 King Air,C-GIAE,Island Express Air,0.0,"Abbotsford Airport, BC (YXX/CYXX)",sub
999,2018-02-24,Airbus A330-323,N817NW,Delta Air Lines,0.0,"Minneapolis, Minnesota",non
1000,2018-02-26,Beechcraft A100 King Air,C-GJXF,Strait Air,0.0,"Havre-Saint-Pierre Airport, QC (YGV)",sub
1001,2018-02-28,Airbus A320-214,ES-SAN,SmartLynx Airlines Estonia,0.0,Tallinn-Lennart Meri Airport (TLL),sub
1002,2018-03-01,Beechcraft 200 Super King Air,YV1909,Unknown,0.0,Charallave-Óscar Machado Zuloaga Airport (SVCS),sub
1003,2018-03-04,Boeing 737-322 (SF),9S-ASG,Serve Air,0.0,Lubumbashi International Airport (FBM),sub
1004,2018-03-06,Antonov An-26,RF-92955/52,Russian Air Force,39.0,"0,5 km from Latakia-Khmeimim Air Base (LTK)",w/o
1005,2018-03-10,Learjet 31,N500MP,N500MP LLC,0.0,"Mount Pleasant Municipal Airport, MI (KMOP)",sub
1006,2018-03-11,Bombardier CL-600-2B16 Challenger 604,TC-TRB,MC Aviation,11.0,130 km SW of Shahr-e Kurd,w/o
1007,2018-03-12,de Havilland Canada DHC-8-402Q Dash 8,S2-AGU,US-Bangla Airlines,51.0,Kathmandu-Tribhuvan Airport (KTM),w/o
1008,2018-03-14,Boeing 777-31HER,A6-EGU,Emirates,1.0,Entebbe Airport (EBB/HUEN),non
1009,2018-03-15,Cessna 208 Caravan I,VH-PGA,West Coast Air Services,0.0,"Talbot Bay, WA",w/o
1010,2018-03-15,Beechcraft B200 Super King Air,YV3284 ?,Unknown,0.0,"near Blue Creek, Orange Walk Town",w/o
1011,2018-03-16,Beechcraft C99 Commuter,N213AV,Ameriflight,0.0,"Hastings Airport, NE (HSI)",sub
1012,2018-03-17,Canadair CL-600-2B19 Regional Jet CRJ-200ER,C-FDJA,"Air Canada Express, opb Jazz Aviation",0.0,"Montreal-Pierre Elliott Trudeau International Airport, QC (YUL)",sub
1013,2018-03-20,de Havilland Canada DHC-6 Twin Otter 300,N716JP,Bald Mountain Air Services,0.0,"225 km N of Deadhorse, AK",sub
1014,2018-03-21,Gulfstream V,N90JE,Peyton Holdings LLC,0.0,"Miami, Florida",non
1015,2018-03-22,Airbus A320-232,VH-...,,0.0,"near Cairns, QLD",non
1016,2018-03-23,Boeing 737-8K5 (WL),OK-TVP,"SmartWings, opf Israir",0.0,Budapest Ferenc Liszt International Airport (BUD/LHBP),non
1017,2018-03-26,CASA C-212 Aviocar 200,N107BH,Bighorn Airways,0.0,"Sheridan Airport, WY (SHR)",sub
1018,2018-03-26,CASA C-212 Aviocar,N217BH,Bighorn Airways,0.0,"Sheridan Airport, WY (SHR)",unk
1019,2018-03-27,Airbus A319-111,G-EZMK,easyJet,0.0,Murcia-San Javier Airport (MJV),sub
1020,2018-03-28,Boeing 767-3Q8ER,4X-EAK,El Al Israel Airlines,0.0,Tel Aviv-Ben Gurion International Airport (TLV/LLBG),sub
1021,2018-03-28,Boeing 737-76J (WL),D-ABLB,Germania,0.0,Tel Aviv-Ben Gurion International Airport (TLV/LLBG),sub
1022,2018-03-29,Beechcraft 99 Airliner,N31TN,Lake Clark Air,0.0,"Pilot Point Airport, AK (PIP)",sub
1023,2018-03-29,ATR 42-500,XA-UAV,Aeromar,0.0,Mexico City-Benito Juárez International Airport (MEX),sub
1024,2018-03-29,ATR 72-600 (72-212A),XA-UYY,Aeromar,0.0,Mexico City-Benito Juárez International Airport (MEX),sub
1025,2018-03-29,Fairchild SA227-DC Metro 23,CP-2459,Línea Aérea Amaszonas,0.0,Riberalta-Capitán Av. Selin Zeitun Lopez Airport (RIB),sub
1026,2018-03-30,Antonov An-12BK,UR-KDM,Cavok Air,0.0,Gao Airport (GAQ),sub
1027,2018-03-30,Cessna 650 Citation III,N126MT,2M Leasing LLC,0.0,"Orlando-Central Florida Regional Airport, FL (SFB)",sub
1028,2018-03-31,Cessna 208B Grand Caravan,N9339B,Skydive the Ranch,0.0,"near Gardiner Airport, NY",sub
1029,2018-04-02,Cessna 525C Citation CJ4,N511AC,Avis Industrial Corporation,2.0,"Marion Municipal Airport, IN (MZZ)",sub
1030,2018-04-04,Dassault Falcon 2000EX,XA-CDT,Unknown,0.0,"Houston-William P. Hobby Airport, TX (HOU)",w/o
1031,2018-04-04,Learjet 60,N759SH,Henning Aviation LLC,0.0,"Houston-William P. Hobby Airport, TX (HOU)",w/o
1032,2018-04-04,Cessna 560XL Citation Excel,N900WL,MTC Enterprises LLC,0.0,"Houston-William P. Hobby Airport, TX (HOU)",w/o
1033,2018-04-04,Learjet 40XR,N626FX,Union Gas Air Ventures I LLC,0.0,"Houston-William P. Hobby Airport, TX (HOU)",w/o
1034,2018-04-04,Learjet 45XR,N618CW,ERG Holdings LLC,0.0,"Houston-William P. Hobby Airport, TX (HOU)",w/o
1035,2018-04-05,Antonov An-26,UP-AN607,Mega Aircompany,0.0,Wau Airport (WUU),unk
1036,2018-04-09,Beechcraft 200 Super King Air,LN-NOA,Airwing,0.0,Stavanger-Sola Airport (SVG),sub
1037,2018-04-09,Boeing 737-9B5,HL7725,Korean Air,0.0,Osaka-Kansai International Airport (KIX),sub
1038,2018-04-11,Cessna 208B Grand Caravan,N814GV,"Hageland Aviation Services, opf Ravn Connect",0.0,"3,2 km N of Atqasuk Airport, AK (ATK)",sub
1039,2018-04-11,Ilyushin Il-76TD,7T-WIV,Al Quwwat al-Jawwiya al-Jaza'eriya,257.0,near Boufarik Air Base,w/o
1040,2018-04-12,Cessna 208B Grand Caravan,5Y-SAV,Penial Air,0.0,"El Barde, Somalia - Wajir, Kenya",sub
1041,2018-04-13,Lockheed P-3C Orion,158567,United States Navy,0.0,"near Omaha, NE",w/o
1042,2018-04-14,Antonov An-74-200,EK-74036,Ayk Avia,0.0,Akola village,sub
1043,2018-04-15,Saab 340B,C-GTWK,Transwest Air,0.0,"Prince Albert Airport, SK (YPA)",sub
1044,2018-04-15,de Havilland Canada DHC-6 Twin Otter 100,C-FSCA,Transwest Air,0.0,"Prince Albert Airport, SK (YPA)",sub
1045,2018-04-15,Bombardier CL-600-2B16 Challenger 605,C-FXWT,Morningstar Partners Ltd.,0.0,"Winnipeg-James Armstrong Richardson International Airport, MB (YWG)",sub
1046,2018-04-15,Cessna 550 Citation Bravo,N4AT,Private,0.0,"Winnipeg-James Armstrong Richardson International Airport, MB (YWG)",sub
1047,2018-04-15,Cessna 525 CitationJet,N525P,private,1.0,"NW of Crozet, VA",w/o
1048,2018-04-15,Airbus A321-213,B-6555,Air China,0.0,Zhengzhou-Xinzheng International Airport (CGO),non
1049,2018-04-16,Cessna 525 CitationJet CJ1,D-ISWA,Herbert Waldmann Lichttechnik GmbH & Co. KG,0.0,Le Touquet Airport (LTQ),sub
1050,2018-04-17,de Havilland Canada DHC-8-402Q Dash 8,G-JECX,Flybe,0.0,Newquay-Cornwall Airport (NQY),sub
1051,2018-04-17,Boeing 737-7H4 (WL),N772SW,Southwest Airlines,1.0,"105 km NW of Philadelphia, PA",sub
1052,2018-04-18,Airbus A330-323,N806NW,Delta Air Lines,0.0,"Atlanta Hartsfield-Jackson International Airport, GA (ATL/KATL)",sub
1053,2018-04-20,McDonnell Douglas MD-83,N807WA,World Atlantic Airlines,0.0,"Alexandria International Airport, LA (AEX)",sub
1054,2018-04-23,Antonov An-2R,HA-MBJ,SZEMP Air Kft.,0.0,Eperjes area,sub
1055,2018-04-29,Beechcraft 1900C,N172GA,Alpine Aviation,0.0,"Sioux Falls Regional Airport (Jo Foss Field), SD (FSD)",sub
1056,2018-04-29,Lockheed L-100-30 Hercules,111,Libyan Air Force,3.0,2 km from Sharara Airstrip,w/o
1057,2018-04-29,Boeing 737-8GP (WL),PK-LOO,Lion Air,0.0,Gorontalo-Jalaluddin Airport (GTO),sub
1058,2018-04-30,Boeing 737-8AS (WL),EI-GDZ,Ryanair,0.0,London-Stansted Airport (STN),sub
1059,2018-05-01,Boeing 767-332ER (WL),N172DN,Delta Air Lines,0.0,"New York-John F. Kennedy International Airport, NY (JFK)",min
1060,2018-05-01,Bombardier CRJ-900LR,N606LR,"Delta Connection, opb Endeavor Air",0.0,"New York-John F. Kennedy International Airport, NY (JFK)",sub
1061,2018-05-02,Boeing 737-8K5 (WL),OO-JAY,TUI fly Belgium,0.0,Marrakech-Menara Airport (RAK),sub
1062,2018-05-02,Beechcraft C99 Commuter,PNC0203,Servicio Aéreo de Policia,4.0,near Ibagué,w/o
1063,2018-05-02,Lockheed WC-130H Hercules,65-0968,United States Air Force - USAF,9.0,"ca 2 km NE of Savannah/Hilton Head International Airport, GA (SAV)",w/o
1064,2018-05-03,Dassault Falcon 900EX,ZS-DEX,Blueport Trade 121 (Pty) Ltd.,0.0,Johannesburg/Germiston-Rand Airport (QRA),sub
1065,2018-05-04,Cessna 525C Citation CJ4,EC-MOQ,Aluminios Cortizo,0.0,Santiago de Compostela Airport (SCQ),sub
1066,2018-05-05,Embraer KC-390,PT-ZNF,Embraer,0.0,"Gavião Peixoto-Embraer Unidade Airport, SP (SBGP)",sub
1067,2018-05-07,Boeing 737-8H4 (WL),N8655D,Southwest Airlines,0.0,"Baltimore/Washington International Thurgood Marshall Airport, MD (BWI)",sub
1068,2018-05-12,Boeing 737-8BK (WL),P2-PXE,Air Niugini,0.0,Port Moresby-Jacksons International Airport (POM),sub
1069,2018-05-12,Lockheed L-100-30 Hercules,N403LC,"Lynden Air Cargo, opf PNG Air",0.0,Port Moresby-Jacksons International Airport (POM),sub
1070,2018-05-13,Cessna 208B Grand Caravan,G-KNYS,"Irish Parachute Club, lsf Parachuting Caravan Leasing",2.0,"4,6 km NW of Clonbullogue Aerodrome",w/o
1071,2018-05-13,Airbus A330-323,HL7792,Asiana Airlines,0.0,Istanbul-Atatürk International Airport (IST),sub
1072,2018-05-13,Airbus A321-231,TC-JMM,THY Turkish Airlines,0.0,Istanbul-Atatürk International Airport (IST),sub
1073,2018-05-15,Cessna 208B Grand Caravan,,private,2.0,near Tuzantán,w/o
1074,2018-05-16,Cessna 208B Grand Caravan,9N-AJU,Makalu Air,2.0,Bahun Khark,w/o
1075,2018-05-18,Boeing 737-201 Advanced,XA-UHZ,"Cubana de Aviación, lsf Global Air",112.0,1 km E of Havana-José Martí International Airport (HAV/MUHA),w/o
1076,2018-05-20,Gulfstream G200 Galaxy,B-8129,Star Jet,0.0,Yangzhou Taizhou International Airport (YTY),sub
1077,2018-05-21,Airbus A330-243,TC-OCH,"Saudi Arabian Airlines, lsf Onur Air",0.0,Jeddah-King Abdulaziz International Airport (JED),sub
1078,2018-05-22,Gulfstream G200 Galaxy,N813WM,Silver Air,0.0,Tegucigalpa-Toncontin Airport (TGU),w/o
1079,2018-05-22,Cessna 208B Grand Caravan,PT-FLW,Amazonaves Táxi Aéreo,0.0,"near Manaus-Aeroclube de Flores Airport, AM",w/o
1080,2018-05-23,Beechcraft 200 Super King Air,N800HA,Titan Drilling,0.0,Kolwezi Airport (KWZ),sub
1081,2018-05-23,Beechcraft 200 Super King Air,N905GP,Air Katanga,0.0,Kolwezi Airport (KWZ),min
1082,2018-05-24,Fairchild SA227-AC Metro III,XA-UPP,Aeronaves TSM,0.0,Saltillo-Plan de Guadalupe International Airport (SLW),sub
1083,2018-05-30,Cessna 208B Grand Caravan,5Y-ETY,Asure Air,0.0,4 km from Obo-Mission Airstrip,sub
1084,2018-05-30,Cessna 208B Grand Caravan,5X-MRH,"Air Serv Limited, opf UNHAS",0.0,Kamonia Airstrip,sub
1085,2018-06-03,Lockheed C-130H Hercules,7T-WHT,Al Quwwat al-Jawwiya al-Jaza'eriya,1.0,near Biskra Airport (BSK),w/o
1086,2018-06-05,Cessna 208B Grand Caravan,5Y-CAC,Fly-SAX,10.0,14 km NE of Njabini,w/o
1087,2018-06-06,Antonov An-2R,YR-DAX,Aeroserv,0.0,"Baleni, Galati County",w/o
1088,2018-06-06,Cessna 525A CitationJet CJ2+,D-IULI,ProAir,0.0,Saint Tropez-La Môle Airport (LTT),sub
1089,2018-06-09,de Havilland Canada DHC-6 Twin Otter 300,9N-AEV,Tara Air,0.0,Jumla Airport (JUM),sub
1090,2018-06-10,Boeing 777-223ER,N750AN,American Airlines,0.0,"Decatur, Texas",non
1091,2018-06-10,Boeing 737-8AL (WL),N276EA,"Swiftair, opf Smartwings",0.0,Heraklion-N. Kazantzakis Airport (HER/LGIR),sub
1092,2018-06-10,Boeing 787-9 Dreamliner,N826AN,American Airlines,0.0,near Harbin,non
1093,2018-06-10,de Havilland Canada DHC-8-402Q Dash 8,C-FNEN,WestJet Encore,0.0,"SE of Kamloops, BC",non
1094,2018-06-10,Gulfstream G-IV,N450MB,private,0.0,Panama City Albrook-Marcos A. Gelabert International Airport (PAC),sub
1095,2018-06-11,Pilatus Britten-Norman BN-2B-26 Islander,VP-FBM,Falkland Islands Government Air Service - FIGAS,0.0,Beaver Island Airstrip,sub
1096,2018-06-11,Airbus A340-313,D-AIFA,Lufthansa,0.0,Frankfurt International Airport (FRA/EDDF),sub
1097,2018-06-12,Boeing 737-8H4 (WL),N8693A,Southwest Airlines,0.0,"Phoenix, Arizona",non
1098,2018-06-14,McDonnell Douglas MD-83,UR-CPR,Bravo Airways,0.0,Kyiv-Igor Sikorsky International Airport (IEV),sub
1099,2018-06-14,de Havilland Canada DHC-8-202Q Dash 8,P2-ANX,LinkPNG,0.0,Mendi Airport (MDU),w/o
1100,2018-06-16,Embraer ERJ-175LR,N637CZ,"Delta Connection, opb Compass Airlines",0.0,"Cut Bank, Montana",non
1101,2018-06-18,Cessna 208B Grand Caravan,PK-FSL,Spirit Avia Sentosa,0.0,"6,7 km E of Nabire Airport (NBX)",sub
1102,2018-06-21,Embraer ERJ 170LR (ERJ-170-100 LR),N876RW,"Delta Connection, opb Republic Airlines",0.0,"Columbus-John Glenn International Airport, OH (CMH)",sub
1103,2018-06-22,Boeing 737-8JP (WL),LN-DYE,Norwegian,0.0,Alta Airport (ALF/ENAT),non
1104,2018-06-22,de Havilland Canada DHC-6 Twin Otter 300,PK-HVU,Dimonim Air,0.0,Kenyam Airstrip,min
1105,2018-06-24,Boeing 777-346,JA8944,Japan Airlines (JAL),0.0,over Kurihara City,non
1106,2018-06-24,Let L-410UVP,3X-AAK,Eagle Air (Guinea),4.0,"Souguéta, Kindia",w/o
1107,2018-06-25,de Havilland Canada DHC-6 Twin Otter 300,PK-YRU,Trigana Air Service,0.0,Kenyam Airstrip,min
1108,2018-06-26,Ilyushin Il-76,,Islamic Republic of Iran Air Force - IRIAF,0.0,Damascus International Airport (DAM),w/o
1109,2018-06-26,Learjet 60,N57,Federal Aviation Administration - FAA,0.0,"Salt Lake City International Airport, UT (SLC)",sub
1110,2018-06-26,Airbus A330-323,HL8286,Asiana Airlines,0.0,Seoul-Gimpo (Kimpo) International Airport (SEL),min
1111,2018-06-26,Boeing 777-2B5ER,HL7764,Korean Air,0.0,Seoul-Gimpo (Kimpo) International Airport (SEL),sub
1112,2018-06-27,Antonov An-2R,RA-62524,Feniks,0.0,"Nizhneudinsk, Irkutsk region",sub
1113,2018-06-30,Airbus A330-323,N278AY,American Airlines,0.0,"120 nm NE of Gander, NL",non
1114,2018-06-30,IRMA/Pilatus Britten-Norman BN-2A-26 Islander,V3-HFB,Maya Island Air,0.0,San Pedro Airport (SPR),sub
1115,2018-06-30,Cessna 208 Caravan I,,,0.0,Illertissen,min
1116,2018-07-04,Cessna 208B Grand Caravan,N208EE,Air Choice One,0.0,"Chicago-O'Hare International Airport, IL (ORD/KORD)",sub
1117,2018-07-05,Dornier 228-202,VH-VJN,GAM - General Aviation Maintenance,0.0,"Thangool Airport, QLD (THG)",sub
1118,2018-07-05,Cessna 208B Grand Caravan,5Y-BUC,Flex Air Charters,0.0,"1,2 km from Padek Airstrip",sub
1119,2018-07-06,ATR 72-600 (72-212A),CS-DJG,"TAP Express, opb White Airways",0.0,Fez-Sais Airport (FEZ),sub
1120,2018-07-09,ATR 72-600 (72-212A),CN-COH,RAM Express,0.0,"2,6 km N off Al Hoceima-Charif Al Idrissi Airport (AHU)",sub
1121,2018-07-09,de Havilland Canada DHC-3T Texas Turbine Otter,C-GBQC,Ookpik Aviation,0.0,"Parker Lake, NU",sub
1122,2018-07-10,de Havilland Canada DHC-3T Vazar Turbine Otter,N3952B,Taquan Air,0.0,"Mount Jumbo, Prince of Wales Island, AK",sub
1123,2018-07-10,Convair CV-340,ZS-BRV,Rovos Air,1.0,6 km ESE of Pretoria-Wonderboom Airport (PRY),w/o
1124,2018-07-11,Douglas DC-3C,HK-3293,Air Colombia,0.0,San Felipe Airport,sub
1125,2018-07-16,Boeing 737-8EH (WL),PR-GGD,Gol Linhas Aéreas,0.0,"Belo Horizonte-Tancredo Neves International Airport, MG (CNF)",sub
1126,2018-07-16,Boeing 737-8F2 (WL),LV-HQY,Flybondi,0.0,"Cataratas del Iguazú-M.C.E. Krause Airport, MI (IGR)",sub
1127,2018-07-16,Curtiss C-46F-1-CU Commando,N1822M,Everts Air Fuel,0.0,"Manley Hot Springs Airport, AK (MLY)",sub
1128,2018-07-20,Boeing 767-3Q8ER,C-FJZK,Air Canada Rouge,0.0,"140 nm SSE of Lovelock, NV",non
1129,2018-07-20,Antonov An-26B,UP-AN611,Kazairtrans Airline,0.0,50 km from Al Alamain,w/o
1130,2018-07-21,Douglas C-47B (DC-3),N47HL,"Commemorative Air Force, Highland Lakes Squadron",0.0,"Burnet Municipal Kate Craddock Field, TX",w/o
1131,2018-07-22,Cessna 750 Citation X,N752TX,Textron Inc.,0.0,Cork Airport (ORK/EICK),sub
1132,2018-07-23,McDonnell Douglas MD-88,N918DE,Delta Air Lines,0.0,"Charlotte-Douglas International Airport, NC (CLT/KCLT)",non
1133,2018-07-23,Airbus A319-114,N328NB,Delta Air Lines,0.0,"West Palm Beach, Florida",non
1134,2018-07-23,Cessna 560 Citation Encore,N866VP,OzAir Charter Service,0.0,"near Tulsa International Airport, OK (TUL)",sub
1135,2018-07-26,Boeing 757-204,UP-B5705,"Sunday Airlines, opf SCAT Airlines",0.0,Almaty Airport (ALA/UAAA),sub
1136,2018-07-27,Boeing 767-38EER,N641GT,Atlas Air,0.0,"Portsmouth International Airport at Pease, NH (PSM)",sub
1137,2018-07-27,Antonov An-2R,9S-GFS,Air Kasai,5.0,3 km E of Kamako Airstrip,w/o
1138,2018-07-28,IRMA/Britten-Norman BN-2A-27 Islander,YJ-AL2,Air Taxi Vanuatu,0.0,Port Vila-Bauerfield Airport (VLI),sub
1139,2018-07-28,Britten-Norman BN-2A-8 Islander,YJ-OO9,Unity Airlines,0.0,Port Vila-Bauerfield Airport (VLI),w/o
1140,2018-07-28,ATR 72-500 (72-212A),YJ-AV71,Air Vanuatu,0.0,Port Vila-Bauerfield Airport (VLI),sub
1141,2018-07-30,Antonov An-2SX,RA-40649,private,0.0,"Evenki district, Krasnoyarsk Krai",sub
1142,2018-07-31,Boeing 757-223,N192AN,American Airlines,0.0,"Philadelphia International Airport, PA (PHL/KPHL)",sub
1143,2018-07-31,Embraer ERJ 190AR,XA-GAL,Aeroméxico Connect,0.0,Durango-Guadalupe Victoria Airport (DGO),w/o
1144,2018-08-01,Beechcraft B300 King Air 350,N557AP,Atlantic Transportation of Wilmington LLC,0.0,"near Wilmington-New Hanover County International Airport, NC (ILM)",sub
1145,2018-08-03,Shijiazhuang Y-5B(D),B-50AA,Heilongjiang Kunpeng General Aviation Co.,0.0,32 km E of Tongjiang,sub
1146,2018-08-04,Junkers Ju-52/3mg4e,HB-HOT,Ju-Air,20.0,"1,2 km SW of Piz Segnas",w/o
1147,2018-08-05,Airbus A320-200,,,0.0,Venice-Marco Polo Airport (VCE/LIPZ),non
1148,2018-08-06,Airbus A321-231,PT-MXA,LATAM Airlines Brasil,0.0,"Choró, CE",non
1149,2018-08-07,Dassault Falcon 20D,N961AA,Alliance Air Charter,0.0,ca 3 km from San Luis Potosí Airport (SLP),sub
1150,2018-08-07,Cessna 208B Grand Caravan,VT-UDN,Supreme Airlines,0.0,Lalgarh Airport,sub
1151,2018-08-09,Boeing 777-3F2ER,TC-JJZ,THY Turkish Airlines,0.0,Istanbul-Atatürk International Airport (IST),sub
1152,2018-08-09,Boeing 787-8 Dreamliner,CN-RGT,Royal Air Maroc - RAM,0.0,Istanbul-Atatürk International Airport (IST),sub
1153,2018-08-10,de Havilland Canada DHC-8-402Q Dash 8,N449QX,"Horizon Air, opf Alaska Airlines",1.0,"Ketron Island, WA",w/o
1154,2018-08-13,Airbus A321-271N,N204HA,Hawaiian Airlines,0.0,"Los Angeles International Airport, CA (LAX)",sub
1155,2018-08-13,Cessna 525 CitationJet,N526CP,Vancon Holdings,1.0,"Payson, UT",w/o
1156,2018-08-15,Boeing 777-367ER,B-KPY,Cathay Pacific Airways,0.0,Roma-Fiumicino Airport (FCO),sub
1157,2018-08-16,Boeing 737-85C (WL),B-5498,Xiamen Airlines,0.0,Manila-Ninoy Aquino International Airport (MNL),sub
1158,2018-08-19,de Havilland Canada DHC-8-402Q Dash 8,N404AV,LC Perú,0.0,Lima-Jorge Chávez International Airport (LIM),sub
1159,2018-08-19,Antonov An-2T,D-FOJB,Ostthüringer Fallschirmsportclub - OFC,0.0,Gera-Leumnitz Airfield (EDAJ),sub
1160,2018-08-24,Boeing 757-2Q8 (WL),EI-LBT,Aer Lingus,0.0,"Philadelphia International Airport, PA (PHL/KPHL)",non
1161,2018-08-25,Grumman HU-16C Albatross,N1955G,Stargazer Aero,0.0,"680 km WNW off Cape Hatteras, NC",w/o
1162,2018-08-26,Harbin Y-12E,HK-5036,SATENA,0.0,Santafé del Caguán,sub
1163,2018-08-26,Boeing 767-333ER (WL),C-FMWV,Air Canada Rouge,0.0,"31 km N of Vancouver International Airport, BC (YVR)",sub
1164,2018-08-26,Cessna 208B Grand Caravan,5Y-BOP,Bush Air Safaris,0.0,Pieri Airstrip,sub
1165,2018-08-27,Airbus A320-214 (WL),JA14VA,Vanilla Air,0.0,45 KM East of Miyazaki Airport,non
1166,2018-08-28,Antonov An-2R,LZ-1409,Air Mizia,0.0,near Brusartsi,sub
1167,2018-08-28,Airbus A320-214,B-6952,Beijing Capital Airlines,0.0,Macau Airport (MFM),sub
1168,2018-08-30,de Havilland Canada DHC-6 Twin Otter 300,ET-AIU/808,Ethiopian Air Force,18.0,near Mojo,w/o
1169,2018-08-31,Cessna 680 Citation Sovereign,TC-OYD,Boydak Air,0.0,Bourgas Airport (BOJ),sub
1170,2018-09-01,Boeing 737-8AS (WL),VQ-BJI,Utair,0.0,Adler/Sochi Airport (AER),w/o
1171,2018-09-03,Beechcraft B200 Super King Air,N97WC,West Coast Aviation Services,0.0,"Burbank-Bob Hope Airport, CA (BUR)",sub
1172,2018-09-06,Boeing 757-223 (WL),N173AN,American Airlines,0.0,"near New York, NY",non
1173,2018-09-06,Beechcraft A100 King Air,PT-LJN,VOAR Aviação,0.0,"Itapaci, GO",sub
1174,2018-09-09,Let L-410UVP,UR-TWO,"South West Aviation, lsf Slav-Air",20.0,"1,6 km W of Yirol Airstrip",w/o
1175,2018-09-10,Boeing 737-823 (WL),N950NN,American Airlines,0.0,"Phoenix-Sky Harbor International Airport, AZ (PHX/KPHX)",non
1176,2018-09-15,Boeing 777-333ER,C-FNNW,Air Canada,0.0,NE of Nova Scotia,non
1177,2018-09-15,Canadair CL-215-6B11 (CL-415),C-FOFI,Government of Newfoundland and Labrador,0.0,"Whitehead Pond, NL",sub
1178,2018-09-16,Boeing 777-328ER,F-GSQL,Air France,0.0,Mauritius-Sir Seewoosagur Ramgoolam International Airport (MRU/FIMP),non
1179,2018-09-16,Boeing 747-428FER,TC-ACM,"Saudi Arabian Airlines, lsf ACT Airlines",0.0,Frankfurt International Airport (FRA/EDDF),sub
1180,2018-09-17,Ilyushin Il-20M,RF-93610,Russian Air Force,15.0,35 km W off Latakia-Khmeimim Air Base (LTK),w/o
1181,2018-09-17,Airbus A320-216,HS-ABI,Thai AirAsia,0.0,Bangkok-Don Muang International Airport (DMK/VTBD),sub
